probe_id,probe_type,gold_choice_id,model_review_status,model_review_notes
travel_pd_v03_probe_0010_04,cross_habit_selection,A,accept,"Rewritten to require selecting the memory matching the current context. Gold choice A is preserved; distractors remain plausible alternatives about recency, competing memory, or blending."
travel_pd_v03_probe_0011_00,direct_use,B,accept,"Rewritten as a direct-use memory probe with reduced surface copying. Gold choice B remains the scoped family-travel default, and other choices are plausible but incorrect."
travel_pd_v03_probe_0011_01,boundary,B,accept,"Rewritten to test the boundary between family-trip flexibility and a solo fixed-date trip. Gold choice B remains correct, with parallel distractors that misuse, overapply, or over-query memory."
travel_pd_v03_probe_0011_02,exception,B,revise,"Reworded to reduce exact phrase overlap while preserving the exception logic: the current explicit instruction controls only this case, not future defaults."
travel_pd_v03_probe_0011_03,explicit_retrieval,C,revise,Removed duplicated wording and made the correct option depend on recalling the user's recurring family-trip preference rather than matching the original phrasing.
travel_pd_v03_probe_0011_04,cross_habit_selection,A,revise,Reframed the cross-habit selection so scope matching is required; the loyalty memory remains the correct controlling pattern.
travel_pd_v03_probe_0011_05,conflict_current_override,A,revise,"Clarified that the current explicit exception controls this case, while the recurring international-connection preference remains valid for normal future cases."
travel_pd_v03_probe_0012_00,direct_use,A,revise,Reduced repeated condition wording and made the answer rely on recalling the user's city-trip transportation default.
travel_pd_v03_probe_0012_01,boundary,C,revise,"Reworded the boundary case to emphasize that the current trip falls outside the stored city-center parking pattern, so the old default should not control."
travel_pd_v03_probe_0012_02,exception,C,accept,"The rewrite removes repetitive phrasing, keeps the current-trip exception central, and makes all options plausible without changing the correct resolution."
travel_pd_v03_probe_0012_03,explicit_retrieval,C,accept,"The probe now asks for the recalled recurring pattern without relying on exact hidden wording, and the distractors use comparable travel-planning language."
travel_pd_v03_probe_0012_04,cross_habit_selection,D,accept,The rewrite reduces keyword matching by describing the contexts more naturally while preserving the cross-habit selection decision.
travel_pd_v03_probe_0012_05,conflict_current_override,D,accept,"The current-scope override is clear, the distractors remain plausible, and the correct choice preserves the standing preference while honoring the exception."
travel_pd_v03_probe_0013_00,direct_use,D,accept,The probe requires applying the remembered scoped default and the answer choices are aligned in structure and specificity.
travel_pd_v03_probe_0013_01,boundary,B,accept,"The boundary condition is explicit, the wording avoids rote repetition, and the plausible distractors test over-application of memory."
travel_pd_v03_probe_0013_02,exception,B,accept,Rewritten to make the exception depend on both remembered history and the current request. The correct choice remains the scoped current override rather than permanent replacement or ignoring the exception.
travel_pd_v03_probe_0013_03,explicit_retrieval,B,accept,The query now asks for the retrieved pattern without copying the hidden condition verbatim. Distractors remain plausible and similarly framed.
travel_pd_v03_probe_0013_04,cross_habit_selection,D,accept,Rewritten to reduce exact phrase overlap and require selecting the memory whose scope matches the current task. The correct choice remains the city-transportation default.
travel_pd_v03_probe_0013_05,conflict_current_override,C,accept,The revised query is clearer and tests current-request override versus durable memory. The correct choice remains the temporary exception handling.
travel_pd_v03_probe_0014_00,direct_use,A,accept,The query requires the remembered urban-transportation default while avoiding verbatim repetition of the original condition. Distractors use similar travel-planning wording.
travel_pd_v03_probe_0014_01,boundary,B,accept,The boundary case is preserved while using less formulaic wording. The correct choice remains recognizing that the prior city-specific default is out of scope.
travel_pd_v03_probe_0014_02,exception,D,revise,Rewritten to make the exception explicit without relying on repeated phrasing. The gold remains D: current explicit trip-specific instruction overrides the remembered default only for this case.
travel_pd_v03_probe_0014_03,explicit_retrieval,D,revise,Rewritten to require retrieval of the user's recurring transportation preference while keeping all options plausible and similarly general. The gold remains D.
travel_pd_v03_probe_0014_04,cross_habit_selection,A,revise,Rewritten to reduce repeated condition wording and test selection of the memory whose scope matches the current task. The gold remains A.
travel_pd_v03_probe_0015_00,direct_use,A,revise,Rewritten to require applying the retrieved accessibility/fatigue-sensitive travel default without copying the condition text. The gold remains A.
travel_pd_v03_probe_0015_01,boundary,B,revise,Rewritten as a boundary case where current scope matters. The gold remains B because the remembered pattern does not apply to solo light exploration.
travel_pd_v03_probe_0015_02,exception,A,revise,Rewritten to make the temporary exception clear while preserving the correct choice id. The gold remains A.
travel_pd_v03_probe_0015_03,explicit_retrieval,A,revise,"Rewritten to remove repeated phrasing and obvious lexical cues while preserving the gold answer. The query now explicitly depends on retrieved user history, and distractors remain plausible with similar travel-planning wording."
travel_pd_v03_probe_0015_04,cross_habit_selection,B,revise,Rewritten to reduce keyword matching against the original condition text and to emphasize selecting the memory scoped to the current task. The correct choice remains the business-arrival cushion default.
travel_pd_v03_probe_0016_00,direct_use,B,revise,Rewritten so the answer requires applying remembered user history rather than copying condition wording. Distractors are similarly phrased as alternative decision rules.
travel_pd_v03_probe_0016_01,boundary,D,revise,Boundary case preserved: current scope overrides the family-travel memory. Wording was tightened and distractors made parallel without changing the correct choice.
travel_pd_v03_probe_0016_02,exception,D,revise,Exception case preserved: the explicit current instruction controls only this answer. Rewritten to remove awkward duplicated wording and improve clarity.
travel_pd_v03_probe_0016_03,explicit_retrieval,D,revise,"Rewritten to remove the duplicated 'prefer to prefer' phrasing and reduce lexical shortcuts. The query still requires retrieved history, and the gold choice remains unchanged."
travel_pd_v03_probe_0016_04,cross_habit_selection,B,accept,"Rewritten to require selecting between two retrieved memories by scope rather than matching repeated phrasing. The gold choice remains B because the current request matches the loyalty-booking default, not the family-trip flexibility default."
travel_pd_v03_probe_0016_05,conflict_current_override,C,accept,Rewritten to make the current exception explicit while avoiding verbatim hidden-default phrasing. The gold choice remains C because current trip-specific instructions override the default without deleting it.
travel_pd_v03_probe_0017_00,direct_use,D,accept,"Rewritten so the answer depends on retrieved user history about optional overnight flight planning, not just matching a repeated phrase. The gold choice remains D."
travel_pd_v03_probe_0017_01,boundary,A,accept,Rewritten as a boundary case where current scope matters. The gold choice remains A because the stored default was for optional overnight travel and should not control when overnight travel is necessary or strategically important.
travel_pd_v03_probe_0017_02,exception,B,accept,Rewritten to emphasize a current explicit exception without revealing hidden labels. The gold choice remains B because the present request overrides the default only for this case.
travel_pd_v03_probe_0017_03,explicit_retrieval,B,accept,"Rewritten as an explicit retrieval probe with parallel, plausible choices. The gold choice remains B because the supported recurring preference is to avoid red-eyes unless the upside is substantial."
travel_pd_v03_probe_0017_04,cross_habit_selection,D,accept,Rewritten to make the scoped-memory decision depend on matching the current travel context rather than on repeated wording; the correct choice remains D.
travel_pd_v03_probe_0017_05,conflict_current_override,A,accept,Clarifies that the current request contains a specific override while keeping all alternatives plausible; the correct choice remains A.
travel_pd_v03_probe_0018_00,direct_use,C,accept,Reduces direct repetition while preserving the need to use the retrieved scoped travel preference; the correct choice remains C.
travel_pd_v03_probe_0018_01,boundary,D,accept,Makes the boundary condition depend on current trip scope rather than lexical matching; the correct choice remains D.
travel_pd_v03_probe_0018_02,exception,C,accept,Frames the case as a current explicit override without overexposing template wording; the correct choice remains C.
travel_pd_v03_probe_0018_03,explicit_retrieval,A,accept,Fixes awkward phrasing and keeps the probe focused on explicit retrieval of the recurring preference; the correct choice remains A.
travel_pd_v03_probe_0019_00,direct_use,C,accept,Rewritten to require retrieval of the user's recurring work-hotel preference without simply matching repeated condition wording. Gold choice C remains the only option that applies the scoped default; distractors are plausible and similarly framed.
travel_pd_v03_probe_0019_01,boundary,A,accept,Boundary case now contrasts vacation goals with remembered work-trip proximity preference rather than repeating the stored boundary wording. Gold choice A remains correct because current scope excludes the prior default.
travel_pd_v03_probe_0019_02,exception,D,accept,Exception case is phrased as a concrete current instruction and avoids the awkward repeated wording. Gold choice D remains correct: current explicit preference overrides only this instance.
travel_pd_v03_probe_0019_03,explicit_retrieval,D,accept,Explicit retrieval probe now asks for the remembered pattern directly while reducing surface overlap among query and answer. Gold choice D is preserved.
travel_pd_v03_probe_0020_00,direct_use,A,accept,Direct-use probe requires recalling the user's work-focused hotel preference without over-repeating the condition. Gold choice A remains correct; distractors are plausible general strategies.
travel_pd_v03_probe_0020_01,boundary,D,accept,Boundary probe now clearly depends on current trip purpose and remembered preference rather than lexical repetition. Gold choice D remains correct.
travel_pd_v03_probe_0020_02,exception,C,revise,Rewritten to include the retrieved preference explicitly while making the current exception clear. The answer still tests temporary override rather than permanent memory replacement.
travel_pd_v03_probe_0020_03,explicit_retrieval,B,revise,Rewritten to remove awkward repeated wording and make the probe depend on recalling the user's hotel-planning pattern. Distractors remain plausible and similarly framed.
travel_pd_v03_probe_0020_04,cross_habit_selection,D,revise,Rewritten to reduce surface cueing from the original condition text while preserving the cross-habit selection target. The correct choice remains the memory matching the current flight-planning scope.
travel_pd_v03_probe_0020_05,conflict_current_override,C,revise,"Rewritten to make the stored pattern and current exception both explicit. The item still tests that a current, scoped exception overrides the usual default without deleting it."
travel_pd_v03_probe_0021_00,direct_use,D,revise,Rewritten for clearer natural language and less formulaic repetition. The query still requires applying the remembered scoped default.
travel_pd_v03_probe_0021_01,boundary,B,revise,Rewritten to state both the remembered pattern and the current boundary condition. The correct response remains not applying the business-trip default outside its scope.
travel_pd_v03_probe_0021_02,exception,B,accept,Rewritten to require recognizing the scoped exception rather than matching exact wording; the preserved correct choice is B.
travel_pd_v03_probe_0021_03,explicit_retrieval,B,accept,Rewritten to reduce verbatim overlap with the stored rule while still testing explicit retrieval of the same user preference; the preserved correct choice is B.
travel_pd_v03_probe_0021_04,cross_habit_selection,D,accept,"Rewritten to make the task match, rather than lexical repetition, determine the controlling memory; the preserved correct choice is D."
travel_pd_v03_probe_0021_05,conflict_current_override,D,accept,Rewritten to foreground the current override and persistence of the prior default without relying on exact hidden-rule wording; the preserved correct choice is D.
travel_pd_v03_probe_0022_00,direct_use,B,accept,Rewritten as a direct-use memory probe with balanced distractors and less exact repetition; the preserved correct choice is B.
travel_pd_v03_probe_0022_01,boundary,A,accept,Rewritten to test the boundary condition using current-scope reasoning rather than surface matching; the preserved correct choice is A.
travel_pd_v03_probe_0022_02,exception,A,accept,Rewritten to make the current-scope exception explicit without relying on repeated exact wording from the stored preference. The correct choice remains A: follow the current exception for this answer but do not overwrite the standing default.
travel_pd_v03_probe_0022_03,explicit_retrieval,B,accept,The query now requires recall of the user's recurring preference rather than matching the exact hidden wording. Distractors are similarly phrased and plausible. The correct choice remains B.
travel_pd_v03_probe_0022_04,cross_habit_selection,C,accept,"The rewrite emphasizes selecting the memory whose scope matches the current task, reducing answerability by keyword overlap alone. The correct choice remains C."
travel_pd_v03_probe_0022_05,conflict_current_override,B,accept,"The current override is stated in natural terms without duplicating all hidden phrasing. Distractors test memory precedence, over-application, and permanent deletion. The correct choice remains B."
travel_pd_v03_probe_0023_00,direct_use,B,accept,"The probe now asks for applying the remembered default in a paraphrased current context. The correct choice remains B, and the wrong choices are plausible generic planning policies."
travel_pd_v03_probe_0023_01,boundary,A,accept,The boundary condition is clear and requires comparing current scope against the remembered pattern. The correct choice remains A.
travel_pd_v03_probe_0023_02,exception,C,accept,Rewritten to avoid repeating the exact hidden condition wording while preserving the exception logic. Gold remains C because the current explicit exception should override only for this case.
travel_pd_v03_probe_0023_03,explicit_retrieval,D,accept,The query now requires recalling the user's travel pattern without copying the full condition phrase. Distractors are plausible and similarly general; D preserves the correct default.
travel_pd_v03_probe_0023_04,cross_habit_selection,A,accept,Revised to test cross-habit selection by domain match rather than lexical overlap. Gold remains A because the current task is flight planning with optional overnight timing.
travel_pd_v03_probe_0023_05,conflict_current_override,D,accept,The exception is stated in a natural current-request framing. Gold remains D because current explicit constraints override the stored default only for this instance.
travel_pd_v03_probe_0024_00,direct_use,B,accept,"Direct-use probe now uses a more natural scenario and avoids formulaic repetition. Gold remains B, matching the work-hotel venue-proximity default."
travel_pd_v03_probe_0024_01,boundary,D,accept,Boundary case is clear and current-scope dependent. Gold remains D because the saved venue-proximity habit should not control a leisure stay focused on neighborhood and sightseeing.
travel_pd_v03_probe_0024_02,exception,A,accept,Rewritten to make the current exception concrete without repeating the exact stored phrasing. The gold choice remains A: the assistant should follow the current trip-specific exception while preserving the recurring default for normal future work-trip hotel cases. Distractors are plausible and similarly worded.
travel_pd_v03_probe_0024_03,explicit_retrieval,D,accept,"Rewritten to require retrieval of the recurring user tendency rather than matching repeated lexical strings. The gold choice remains D, expressed with equivalent wording. Wrong choices remain plausible generic planning defaults."
travel_pd_v03_probe_0024_04,cross_habit_selection,B,accept,"Rewritten to reduce phrase copying while preserving the cross-habit selection test. The gold choice remains B because the current task concerns changeable plans, so the flexibility preference controls. Other choices are plausible errors involving blending, selecting the wrong habit, or recency bias."
travel_pd_v03_probe_0024_05,conflict_current_override,C,accept,Rewritten as a current override/exception case with less lexical overlap. The gold choice remains C: the current request overrides the normal relaxed pacing default only for this instance. Distractors reflect common memory-use mistakes.
travel_pd_v03_probe_0025_00,direct_use,A,accept,Rewritten to avoid repeated condition/default wording while still requiring use of the remembered flight-connection preference. The gold choice remains A. Distractors are plausible but do not match the scoped preference.
travel_pd_v03_probe_0025_01,boundary,A,accept,Rewritten as a boundary case where current scope matters. The gold choice remains A because the remembered buffer preference is scoped to complex or international connection risk and should not control a simple domestic nonstop/low-risk trip.
travel_pd_v03_probe_0025_02,exception,D,accept,"Gold D is preserved. The rewrite reduces direct label matching by describing the remembered pattern and the current exception in natural terms. Distractors are plausible and similarly worded, while the correct answer depends on recognizing that an explicit current exception overrides the recurring default only for this case."
travel_pd_v03_probe_0025_03,explicit_retrieval,C,accept,Gold C is preserved. The query now asks for a recalled recurring preference without copying the exact default wording as heavily. Wrong answers remain plausible travel-planning policies with similar style and scope.
travel_pd_v03_probe_0025_04,cross_habit_selection,A,accept,"Gold A is preserved. The rewrite makes the cross-habit selection depend on matching the current scope rather than lexical overlap. Distractors are close alternatives: using the other memory, recency, or blending both."
travel_pd_v03_probe_0025_05,conflict_current_override,B,accept,"Gold B is preserved. The current exception is clear without overusing the original phrasing. Alternatives remain plausible and parallel: memory over current wording, default anyway, or permanent deletion."
travel_pd_v03_probe_0026_00,direct_use,D,accept,Gold D is preserved. The probe now requires recalling the user's short-trip packing/itinerary tendency rather than matching a repeated phrase. Wrong choices are similarly general planning defaults.
travel_pd_v03_probe_0026_01,boundary,D,accept,"Gold D is preserved. The query focuses on the boundary condition and current scope. Distractors remain plausible but incorrect: over-clarifying, overapplying the remembered pattern, or using an unrelated strong memory."
travel_pd_v03_probe_0026_02,exception,B,revise,Rewritten to remove repetitive phrasing and make the current exception versus stored default distinction clear without relying on exact repeated wording.
travel_pd_v03_probe_0026_03,explicit_retrieval,B,revise,Rewritten to require retrieval of the recurring brief-trip preference while keeping distractors similar in structure and plausibility.
travel_pd_v03_probe_0026_04,cross_habit_selection,C,revise,"Rewritten to reduce lexical overlap while preserving the cross-habit selection requirement: the relevant hotel-work memory should control, not the luggage memory."
travel_pd_v03_probe_0026_05,conflict_current_override,B,revise,Rewritten to make the current override explicit and to keep all answer choices about how to reconcile current instructions with remembered defaults.
travel_pd_v03_probe_0027_00,direct_use,A,revise,Rewritten to require use of the stored hotel-work preference and to make distractors plausible general decision policies.
travel_pd_v03_probe_0027_01,boundary,B,revise,Rewritten to clarify the boundary case: the stored work-hotel habit should not automatically govern a social or nightlife-focused stay.
travel_pd_v03_probe_0027_02,exception,D,accept,"Rewritten to make the exception logic depend on current scope plus remembered hotel pattern, with similarly framed alternatives and no change to the correct choice."
travel_pd_v03_probe_0027_03,explicit_retrieval,B,accept,Rewritten to reduce phrase overlap with the stored rule while still requiring retrieval of the user's hotel preference. Distractors remain plausible and parallel.
travel_pd_v03_probe_0027_04,cross_habit_selection,C,accept,"Rewritten to test selecting the memory whose scope matches the current task, with the unrelated hotel preference retained as a plausible distractor."
travel_pd_v03_probe_0027_05,conflict_current_override,A,accept,Rewritten to emphasize the conflict between a scoped memory and an explicit current override. The correct choice preserves memory without applying it to the exception case.
travel_pd_v03_probe_0028_00,direct_use,C,accept,Rewritten to require retrieval of the user's transfer-planning default and to make all alternatives comparable in wording and scope.
travel_pd_v03_probe_0028_01,boundary,D,accept,Rewritten as a boundary case where the current scope limits use of the stored arrival-transfer preference. Distractors are plausible but do not fit the boundary.
travel_pd_v03_probe_0028_02,exception,A,accept,Rewritten to reduce phrase overlap while preserving the exception logic and the same correct choice id. Distractors remain plausible and similarly worded.
travel_pd_v03_probe_0028_03,explicit_retrieval,B,accept,Rewritten to require retrieval of the user's recurring preference and to make wrong answers parallel without relying on the original wording.
travel_pd_v03_probe_0029_00,direct_use,B,accept,Rewritten to reduce lexical copying and keep the scoped direct-use memory requirement clear. Choices are balanced and preserve the correct choice id.
travel_pd_v03_probe_0029_01,boundary,B,accept,"Rewritten as a boundary case where current scope matters. The correct boundary behavior remains attached to the same choice id, and distractors are plausible."
travel_pd_v03_probe_0029_02,exception,C,accept,Rewritten to foreground the one-off exception and maintain the same correct choice id. All options use comparable wording around current instruction versus remembered pattern.
travel_pd_v03_probe_0029_03,explicit_retrieval,C,accept,Rewritten to require explicit retrieval of the user's recurring hotel preference while reducing exact phrase reuse. The correct choice id is preserved.
travel_pd_v03_probe_0029_04,cross_habit_selection,C,accept,Rewritten to reduce repeated condition wording and make the scoped-memory selection depend on retrieved history. Gold choice C remains the only context-matched default.
travel_pd_v03_probe_0029_05,conflict_current_override,A,accept,Exception is stated in the current query and choices are plausibly similar. Gold choice A correctly treats the current request as a one-off override rather than a memory deletion.
travel_pd_v03_probe_0030_00,direct_use,B,accept,Direct-use probe now references retrieved history rather than simply restating the hidden condition. Gold choice B remains clearly supported.
travel_pd_v03_probe_0030_01,boundary,D,accept,Boundary probe appropriately requires current scope and retrieved memory. Gold choice D is the only answer that respects the vacation boundary.
travel_pd_v03_probe_0030_02,exception,B,accept,Exception wording is cleaned up and clearly distinguishes a current override from permanent memory change. Gold choice B remains correct.
travel_pd_v03_probe_0030_03,explicit_retrieval,B,accept,Explicit-retrieval probe now asks for the supported memory without over-repeating the original label. Gold choice B remains the only supported recurring preference.
