probe_id,probe_type,gold_choice_id,listed_in_feedback_error_set,query_within_declared_account_review_scope,decision_unit_id,decision_unit_reuse_count,query
mdgo_v11_probe_000529,triple_asof_interleaved,A,0,1,mdgo_v13_du_02906a0085af610f,29,"Complete one period-correct handoff for the policy state as of 9:00 am on July 6, 2025: A $1649 charge at Riverview Energy is unfamiliar on card ending 8748. Assess a $14910 line-of-credit question for the workspace lease. Review the June 11 statement for checking ending 4222 and explain the change. The calendar is tight, so I need a clean answer rather than a discussion of every possible workflow. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route."
mdgo_v11_probe_000541,triple_asof_interleaved,A,1,1,mdgo_v13_du_02906a0085af610f,29,"Complete one period-correct handoff for the policy state as of 9:00 am on July 6, 2025: Compare financing paths for a $5440 home repair. Reconcile the latest activity on card ending 8748 for the home repair. Card ending 8748 went missing during the annual insurance renewal. Please keep the response compact even though the case has more than one workstream. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route."
mdgo_v11_probe_000773,triple_asof_interleaved,B,0,1,mdgo_v13_du_02906a0085af610f,29,"Complete one period-correct handoff for the policy state as of 9:00 am on July 6, 2025: Assess a $7560 line-of-credit question for the vendor retainer. Card ending 8748 went missing during the tuition installment. Review the January 14 statement for checking ending 4222 and explain the change. The request is ordinary enough that the process details are easy to overlook. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route."
mdgo_v11_probe_000787,dual_asof_reversal,D,0,1,mdgo_v13_du_02906a0085af610f,29,"Prepare the two-workstream record that would have been correct as of 12:30 am on June 4, 2025. A $685 charge at Granite Office is unfamiliar on card ending 8748. Review the April 9 statement for checking ending 4222 and explain the change. The request is ordinary enough that the process details are easy to overlook. Use the policy state then in force, even if a later reference eventually closed a pending review."
mdgo_v11_probe_000815,suggestion_rejection_pair,A,0,1,mdgo_v13_du_02906a0085af610f,29,The $1120 charge from Juniper Wireless on card ending 8748 still does not reconcile. Review the April 9 statement for checking ending 4222 and explain the change. The signed-in app and trusted device are already available. The reviewer has a comparison worksheet open beside the case. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000926,triple_asof_interleaved,A,1,1,mdgo_v13_du_02906a0085af610f,29,"Complete one period-correct handoff for the policy state as of 12:30 am on June 4, 2025: Reconcile the latest activity on card ending 8748 for the clinic reimbursement. A $1342 charge at Meadow Insurance is unfamiliar on card ending 8748. Prepare a $175 payment from checking ending 4222 to Riverview Energy for November 13. I am between meetings; give me one coherent closeout without dropping any checkpoint. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route."
mdgo_v11_probe_000985,surface_decoy_pair,C,0,1,mdgo_v13_du_02906a0085af610f,29,"Review the May 22 statement for checking ending 4222 and explain the change. A $278 charge at Riverview Energy is unfamiliar on card ending 8748. The case already contains a timestamped event list. All of the current case details are already in the thread. This looks routine on the surface, but keep the record reviewable. Produce one replayable closeout under V12-FIN-R10985; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_001078,dual_asof_reversal,D,0,1,mdgo_v13_du_02906a0085af610f,29,"Prepare the two-workstream record that would have been correct as of 12:30 am on June 4, 2025. Card ending 8748 went missing during the quarterly tax reserve. Review the January 14 statement for checking ending 4222 and explain the change. Please keep the response compact even though the case has more than one workstream. Use the policy state then in force, even if a later reference eventually closed a pending review."
mdgo_v11_probe_001085,provenance_weighted_triple,B,0,1,mdgo_v13_du_02906a0085af610f,29,The $1506 charge from Oakline Media on card ending 8748 still does not reconcile. Restore access to checking ending 4222 after a device change. Review the May 22 statement for checking ending 4222 and explain the change. The standard support tools are available today. The signed-in app and trusted device are already available. The case already contains a timestamped event list. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.
mdgo_v11_probe_001223,dual_asof_reversal,B,0,1,mdgo_v13_du_02906a0085af610f,29,"Prepare the two-workstream record that would have been correct as of 9:00 am on July 13, 2025. Card ending 8748 went missing during the studio equipment invoice. Review the November 13 statement for checking ending 4222 and explain the change. The request is ordinary enough that the process details are easy to overlook. Use the policy state then in force, even if a later reference eventually closed a pending review."
mdgo_v11_probe_001225,triple_asof_interleaved,A,1,1,mdgo_v13_du_02906a0085af610f,29,"Complete one period-correct handoff for the policy state as of 9:00 am on July 6, 2025: Reconcile the latest activity on card ending 8748 for the travel deposit. A $2054 charge at Beacon Storage is unfamiliar on card ending 8748. Assess a $16240 line-of-credit question for the travel deposit. I am between meetings; give me one coherent closeout without dropping any checkpoint. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route."
mdgo_v11_probe_001230,triple_asof_interleaved,A,0,1,mdgo_v13_du_02906a0085af610f,29,"Complete one period-correct handoff for the policy state as of 12:30 am on June 4, 2025: Prepare a $2068 payment from checking ending 4222 to Harbor Utilities for June 11. A $1200 charge at Cloudberry Foods is unfamiliar on card ending 8748. Review the April 9 statement for checking ending 4222 and explain the change. This looks routine on the surface, but keep the record reviewable. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route."
mdgo_v11_probe_001307,triple_asof_interleaved,A,0,1,mdgo_v13_du_02906a0085af610f,29,"Complete one period-correct handoff for the policy state as of 9:00 am on July 6, 2025: Review the July 27 statement for checking ending 4222 and explain the change. Card ending 8748 went missing during the studio equipment invoice. Review the $467 fee posted by Meadow Insurance on August 15 and prepare the case if the mismatch remains. The calendar is tight, so I need a clean answer rather than a discussion of every possible workflow. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route."
mdgo_v11_probe_001675,dual_asof_reversal,A,1,1,mdgo_v13_du_02906a0085af610f,29,"Prepare the two-workstream record that would have been correct as of 12:30 am on June 4, 2025. A $919 charge at Orchid Health is unfamiliar on card ending 8748. Reconcile the latest activity on card ending 8748 for the vendor retainer. This looks routine on the surface, but keep the record reviewable. Use the policy state then in force, even if a later reference eventually closed a pending review."
mdgo_v11_probe_001704,surface_decoy_pair,D,1,1,mdgo_v13_du_02906a0085af610f,29,"Restore access to checking ending 4222 after a device change. Reconcile the latest activity on card ending 8748 for the travel deposit. The signed-in app and trusted device are already available. The reviewer has a comparison worksheet open beside the case. Please keep the response compact even though the case has more than one workstream. Produce one replayable closeout under V12-FIN-R11704; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_001842,triple_asof_interleaved,B,0,1,mdgo_v13_du_02906a0085af610f,29,"Complete one period-correct handoff for the policy state as of 12:30 am on June 4, 2025: Review the January 14 statement for checking ending 4222 and explain the change. A $1197 charge at Willow Pharmacy is unfamiliar on card ending 8748. Set up the $567 transfer from savings ending 7424 to checking ending 4222 for the vendor retainer. This looks routine on the surface, but keep the record reviewable. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route."
mdgo_v11_probe_001928,surface_decoy_pair,C,0,1,mdgo_v13_du_02906a0085af610f,29,"Assess a $5350 line-of-credit question for the tuition installment. Reconcile the latest activity on card ending 8748 for the vendor retainer. The reviewer has a comparison worksheet open beside the case. The case already contains a timestamped event list. I am between meetings; give me one coherent closeout without dropping any checkpoint. Produce one replayable closeout under V12-FIN-R11928; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_001952,triple_asof_interleaved,D,1,1,mdgo_v13_du_02906a0085af610f,29,"Complete one period-correct handoff for the policy state as of 12:30 am on June 4, 2025: Recover the secure profile tied to savings ending 7424. Card ending 8748 went missing during the vendor retainer. Reconcile the latest activity on card ending 8748 for the clinic reimbursement. This looks routine on the surface, but keep the record reviewable. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route."
mdgo_v11_probe_001958,triple_asof_interleaved,D,1,1,mdgo_v13_du_02906a0085af610f,29,"Complete one period-correct handoff for the policy state as of 12:30 am on June 4, 2025: A $1019 charge at Oakline Media is unfamiliar on card ending 8748. Prepare a $1799 payment from checking ending 4222 to Beacon Property Services for July 27. Reconcile the latest activity on card ending 8748 for the home repair. The request is ordinary enough that the process details are easy to overlook. The current tool layout resembles a later case, so preserve the dated decision state rather than the visually convenient route."
