probe_id,domain,probe_type,removed_sentence_count,removed_sentences_json,old_query,new_query
mdgo_v11_probe_000150,finance,surface_decoy_pair,1,"[""All of the current case details are already in the thread.""]","Compare financing paths for a $13608 vendor retainer. Prepare a $203 payment from checking ending 4460 to Beacon Property Services for May 22. All of the current case details are already in the thread. All of the current case details are already in the thread. I am between meetings; give me one coherent closeout without dropping any checkpoint. Produce one replayable closeout under V12-FIN-R10150; the visible tools are context, not a substitute for the user’s recorded process.","Compare financing paths for a $13608 vendor retainer. Prepare a $203 payment from checking ending 4460 to Beacon Property Services for May 22. All of the current case details are already in the thread. I am between meetings; give me one coherent closeout without dropping any checkpoint. Produce one replayable closeout under V12-FIN-R10150; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000159,finance,provenance_weighted_triple,1,"[""The standard support tools are available today.""]",A $1217 charge at Sunrise Hardware is unfamiliar on card ending 8771. Compare financing paths for a $20040 studio equipment invoice. Restore access to checking ending 4239 after a device change. The standard support tools are available today. The standard support tools are available today. The signed-in app and trusted device are already available. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.,A $1217 charge at Sunrise Hardware is unfamiliar on card ending 8771. Compare financing paths for a $20040 studio equipment invoice. Restore access to checking ending 4239 after a device change. The standard support tools are available today. The signed-in app and trusted device are already available. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.
mdgo_v11_probe_000196,finance,surface_decoy_pair,1,"[""All of the current case details are already in the thread.""]","Review the $1071 fee posted by Northline Books on February 6 and prepare the case if the mismatch remains. Assess a $21780 line-of-credit question for the workspace lease. All of the current case details are already in the thread. All of the current case details are already in the thread. This looks routine on the surface, but keep the record reviewable. Produce one replayable closeout under V12-FIN-R10196; the visible tools are context, not a substitute for the user’s recorded process.","Review the $1071 fee posted by Northline Books on February 6 and prepare the case if the mismatch remains. Assess a $21780 line-of-credit question for the workspace lease. All of the current case details are already in the thread. This looks routine on the surface, but keep the record reviewable. Produce one replayable closeout under V12-FIN-R10196; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000205,finance,surface_decoy_pair,1,"[""The standard support tools are available today.""]","Compare financing paths for a $10064 studio equipment invoice. The $1319 charge from Silverline Travel on card ending 8817 still does not reconcile. The standard support tools are available today. The standard support tools are available today. This looks routine on the surface, but keep the record reviewable. Produce one replayable closeout under V12-FIN-R10205; the visible tools are context, not a substitute for the user’s recorded process.","Compare financing paths for a $10064 studio equipment invoice. The $1319 charge from Silverline Travel on card ending 8817 still does not reconcile. The standard support tools are available today. This looks routine on the surface, but keep the record reviewable. Produce one replayable closeout under V12-FIN-R10205; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000211,finance,suggestion_rejection_pair,1,"[""All of the current case details are already in the thread.""]",Replace card ending 9254; its chip has stopped working. Review the $132 fee posted by Beacon Storage on October 19 and prepare the case if the mismatch remains. All of the current case details are already in the thread. All of the current case details are already in the thread. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,Replace card ending 9254; its chip has stopped working. Review the $132 fee posted by Beacon Storage on October 19 and prepare the case if the mismatch remains. All of the current case details are already in the thread. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000215,finance,provenance_weighted_triple,1,"[""The signed-in app and trusted device are already available.""]",Recover the secure profile tied to savings ending 7538. Review the $712 fee posted by Pine & Stone on August 15 and prepare the case if the mismatch remains. Check the present state of the $1318 transfer from checking ending 4324 for the vendor retainer. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. A current status screen is visible while I write this. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.,Recover the secure profile tied to savings ending 7538. Review the $712 fee posted by Pine & Stone on August 15 and prepare the case if the mismatch remains. Check the present state of the $1318 transfer from checking ending 4324 for the vendor retainer. The signed-in app and trusted device are already available. A current status screen is visible while I write this. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.
mdgo_v11_probe_000296,finance,provenance_weighted_triple,1,"[""The case looks ordinary at first glance.""]",A $2356 charge at Sunrise Hardware is unfamiliar on card ending 8725. The $2120 charge from Lakeside Studio on card ending 8725 still does not reconcile. Prepare a $483 payment from checking ending 4205 to Atlas Learning for June 11. The standard support tools are available today. The case looks ordinary at first glance. The case looks ordinary at first glance. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.,A $2356 charge at Sunrise Hardware is unfamiliar on card ending 8725. The $2120 charge from Lakeside Studio on card ending 8725 still does not reconcile. Prepare a $483 payment from checking ending 4205 to Atlas Learning for June 11. The standard support tools are available today. The case looks ordinary at first glance. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.
mdgo_v11_probe_000304,finance,surface_decoy_pair,1,"[""The case already contains a timestamped event list.""]","A $1242 charge at Silverline Travel is unfamiliar on card ending 8748. Review the July 27 statement for checking ending 4222 and explain the change. The case already contains a timestamped event list. The case already contains a timestamped event list. The calendar is tight, so I need a clean answer rather than a discussion of every possible workflow. Produce one replayable closeout under V12-FIN-R10304; the visible tools are context, not a substitute for the user’s recorded process.","A $1242 charge at Silverline Travel is unfamiliar on card ending 8748. Review the July 27 statement for checking ending 4222 and explain the change. The case already contains a timestamped event list. The calendar is tight, so I need a clean answer rather than a discussion of every possible workflow. Produce one replayable closeout under V12-FIN-R10304; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000309,finance,surface_decoy_pair,1,"[""The case looks ordinary at first glance.""]","Review the $755 fee posted by Lakeside Studio on October 19 and prepare the case if the mismatch remains. Set up the $143 transfer from savings ending 7500 to checking ending 4290 for the workspace lease. The case looks ordinary at first glance. The case looks ordinary at first glance. Please keep the response compact even though the case has more than one workstream. Produce one replayable closeout under V12-FIN-R10309; the visible tools are context, not a substitute for the user’s recorded process.","Review the $755 fee posted by Lakeside Studio on October 19 and prepare the case if the mismatch remains. Set up the $143 transfer from savings ending 7500 to checking ending 4290 for the workspace lease. The case looks ordinary at first glance. Please keep the response compact even though the case has more than one workstream. Produce one replayable closeout under V12-FIN-R10309; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000321,software,suggestion_rejection_pair,1,"[""The reviewer has a comparison worksheet open beside the case.""]",Set up account dashboard in Ridgeway Hub on Windows 11. Submit the reproducible Ridgeway Hub 10.0.1 defect and give me the handoff record. The reviewer has a comparison worksheet open beside the case. The reviewer has a comparison worksheet open beside the case. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,Set up account dashboard in Ridgeway Hub on Windows 11. Submit the reproducible Ridgeway Hub 10.0.1 defect and give me the handoff record. The reviewer has a comparison worksheet open beside the case. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000347,finance,surface_decoy_pair,1,"[""The signed-in app and trusted device are already available.""]","Recover the secure profile tied to savings ending 7500. Prepare a $1957 payment from checking ending 4290 to Meadow Insurance for November 13. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. Please keep the response compact even though the case has more than one workstream. Produce one replayable closeout under V12-FIN-R10347; the visible tools are context, not a substitute for the user’s recorded process.","Recover the secure profile tied to savings ending 7500. Prepare a $1957 payment from checking ending 4290 to Meadow Insurance for November 13. The signed-in app and trusted device are already available. Please keep the response compact even though the case has more than one workstream. Produce one replayable closeout under V12-FIN-R10347; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000397,finance,surface_decoy_pair,1,"[""The case looks ordinary at first glance.""]","Compare financing paths for a $18872 travel deposit. Review the $734 fee posted by Maple Dental on June 11 and prepare the case if the mismatch remains. The case looks ordinary at first glance. The case looks ordinary at first glance. This looks routine on the surface, but keep the record reviewable. Produce one replayable closeout under V12-FIN-R10397; the visible tools are context, not a substitute for the user’s recorded process.","Compare financing paths for a $18872 travel deposit. Review the $734 fee posted by Maple Dental on June 11 and prepare the case if the mismatch remains. The case looks ordinary at first glance. This looks routine on the surface, but keep the record reviewable. Produce one replayable closeout under V12-FIN-R10397; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000452,finance,provenance_weighted_triple,1,"[""All of the current case details are already in the thread.""]",A $1241 charge at Maple Dental is unfamiliar on card ending 9369. The $1775 charge from Silverline Travel on card ending 9369 still does not reconcile. Prepare a $215 payment from checking ending 4681 to Cedar Dental for April 9. The case looks ordinary at first glance. All of the current case details are already in the thread. All of the current case details are already in the thread. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.,A $1241 charge at Maple Dental is unfamiliar on card ending 9369. The $1775 charge from Silverline Travel on card ending 9369 still does not reconcile. Prepare a $215 payment from checking ending 4681 to Cedar Dental for April 9. The case looks ordinary at first glance. All of the current case details are already in the thread. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.
mdgo_v11_probe_000458,finance,surface_decoy_pair,1,"[""The case looks ordinary at first glance.""]","Set up the $122 transfer from savings ending 7728 to checking ending 4494 for the vendor retainer. Assess a $18340 line-of-credit question for the quarterly tax reserve. The case looks ordinary at first glance. The case looks ordinary at first glance. The request is ordinary enough that the process details are easy to overlook. Produce one replayable closeout under V12-FIN-R10458; the visible tools are context, not a substitute for the user’s recorded process.","Set up the $122 transfer from savings ending 7728 to checking ending 4494 for the vendor retainer. Assess a $18340 line-of-credit question for the quarterly tax reserve. The case looks ordinary at first glance. The request is ordinary enough that the process details are easy to overlook. Produce one replayable closeout under V12-FIN-R10458; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000473,finance,suggestion_rejection_pair,1,"[""The signed-in app and trusted device are already available.""]",Recover the secure profile tied to savings ending 7937. Replace card ending 9369; its chip has stopped working. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,Recover the secure profile tied to savings ending 7937. Replace card ending 9369; its chip has stopped working. The signed-in app and trusted device are already available. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000481,finance,surface_decoy_pair,1,"[""The case already contains a timestamped event list.""]","Review the May 22 statement for checking ending 4392 and explain the change. Card ending 8978 went missing during the studio equipment invoice. The case already contains a timestamped event list. The case already contains a timestamped event list. I am between meetings; give me one coherent closeout without dropping any checkpoint. Produce one replayable closeout under V12-FIN-R10481; the visible tools are context, not a substitute for the user’s recorded process.","Review the May 22 statement for checking ending 4392 and explain the change. Card ending 8978 went missing during the studio equipment invoice. The case already contains a timestamped event list. I am between meetings; give me one coherent closeout without dropping any checkpoint. Produce one replayable closeout under V12-FIN-R10481; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000495,software,suggestion_rejection_pair,1,"[""All of the current case details are already in the thread.""]",Nimbus Workbench 7.4.2 closes when I use report builder in Safari. Set up shared inbox in Nimbus Workbench on macOS 15. All of the current case details are already in the thread. All of the current case details are already in the thread. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,Nimbus Workbench 7.4.2 closes when I use report builder in Safari. Set up shared inbox in Nimbus Workbench on macOS 15. All of the current case details are already in the thread. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000501,software,suggestion_rejection_pair,1,"[""The next reviewer asked for a compact handoff artifact.""]",The notification rules issue in Cobalt Office has survived the first check; move the case forward. Submit the reproducible Cobalt Office 7.5.1 defect and give me the handoff record. The next reviewer asked for a compact handoff artifact. The next reviewer asked for a compact handoff artifact. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,The notification rules issue in Cobalt Office has survived the first check; move the case forward. Submit the reproducible Cobalt Office 7.5.1 defect and give me the handoff record. The next reviewer asked for a compact handoff artifact. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000512,finance,suggestion_rejection_pair,1,"[""The standard support tools are available today.""]",Replace card ending 9415; its chip has stopped working. Compare financing paths for a $8024 quarterly tax reserve. The standard support tools are available today. The standard support tools are available today. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,Replace card ending 9415; its chip has stopped working. Compare financing paths for a $8024 quarterly tax reserve. The standard support tools are available today. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000559,finance,provenance_weighted_triple,1,"[""The signed-in app and trusted device are already available.""]",Check the present state of the $221 transfer from checking ending 4324 for the workspace lease. Move the mailing address for checking ending 4324 to the verified address on file. Card ending 8886 went missing during the clinic reimbursement. A current status screen is visible while I write this. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.,Check the present state of the $221 transfer from checking ending 4324 for the workspace lease. Move the mailing address for checking ending 4324 to the verified address on file. Card ending 8886 went missing during the clinic reimbursement. A current status screen is visible while I write this. The signed-in app and trusted device are already available. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.
mdgo_v11_probe_000578,finance,surface_decoy_pair,1,"[""The signed-in app and trusted device are already available.""]","Replace card ending 9300; its chip has stopped working. Check the present state of the $363 transfer from checking ending 4630 for the studio equipment invoice. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. The request is ordinary enough that the process details are easy to overlook. Produce one replayable closeout under V12-FIN-R10578; the visible tools are context, not a substitute for the user’s recorded process.","Replace card ending 9300; its chip has stopped working. Check the present state of the $363 transfer from checking ending 4630 for the studio equipment invoice. The signed-in app and trusted device are already available. The request is ordinary enough that the process details are easy to overlook. Produce one replayable closeout under V12-FIN-R10578; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000585,finance,provenance_weighted_triple,1,"[""The signed-in app and trusted device are already available.""]",Set up the $1561 transfer from savings ending 7614 to checking ending 4392 for the professional membership. Card ending 8978 went missing during the annual insurance renewal. The $656 charge from Sunrise Hardware on card ending 8978 still does not reconcile. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. All of the current case details are already in the thread. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.,Set up the $1561 transfer from savings ending 7614 to checking ending 4392 for the professional membership. Card ending 8978 went missing during the annual insurance renewal. The $656 charge from Sunrise Hardware on card ending 8978 still does not reconcile. The signed-in app and trusted device are already available. All of the current case details are already in the thread. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.
mdgo_v11_probe_000605,finance,surface_decoy_pair,1,"[""The signed-in app and trusted device are already available.""]","Move the mailing address for checking ending 4545 to the verified address on file. Tell me where the $2211 payment to Beacon Property Services stands now. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. I am between meetings; give me one coherent closeout without dropping any checkpoint. Produce one replayable closeout under V12-FIN-R10605; the visible tools are context, not a substitute for the user’s recorded process.","Move the mailing address for checking ending 4545 to the verified address on file. Tell me where the $2211 payment to Beacon Property Services stands now. The signed-in app and trusted device are already available. I am between meetings; give me one coherent closeout without dropping any checkpoint. Produce one replayable closeout under V12-FIN-R10605; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000635,finance,suggestion_rejection_pair,1,"[""The signed-in app and trusted device are already available.""]",A $2212 charge at Pine & Stone is unfamiliar on card ending 8610. Recover the secure profile tied to savings ending 7310. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,A $2212 charge at Pine & Stone is unfamiliar on card ending 8610. Recover the secure profile tied to savings ending 7310. The signed-in app and trusted device are already available. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000673,software,suggestion_rejection_pair,1,"[""The reviewer has a comparison worksheet open beside the case.""]",Set up notification rules in Seabird Office on macOS 15. Report Builder fails in Seabird Office on macOS 15 with error AUTH-29; diagnose it. The reviewer has a comparison worksheet open beside the case. The reviewer has a comparison worksheet open beside the case. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,Set up notification rules in Seabird Office on macOS 15. Report Builder fails in Seabird Office on macOS 15 with error AUTH-29; diagnose it. The reviewer has a comparison worksheet open beside the case. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000683,finance,suggestion_rejection_pair,1,"[""The signed-in app and trusted device are already available.""]",Replace card ending 8656; its chip has stopped working. Set up the $1407 transfer from savings ending 7348 to checking ending 4154 for the home repair. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,Replace card ending 8656; its chip has stopped working. Set up the $1407 transfer from savings ending 7348 to checking ending 4154 for the home repair. The signed-in app and trusted device are already available. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000686,finance,suggestion_rejection_pair,1,"[""The signed-in app and trusted device are already available.""]",Review the $951 fee posted by Willow Pharmacy on August 15 and prepare the case if the mismatch remains. Restore access to checking ending 4562 after a device change. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,Review the $951 fee posted by Willow Pharmacy on August 15 and prepare the case if the mismatch remains. Restore access to checking ending 4562 after a device change. The signed-in app and trusted device are already available. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000700,finance,suggestion_rejection_pair,1,"[""The signed-in app and trusted device are already available.""]",Prepare a $374 payment from checking ending 4511 to Cedar Dental for August 15. Check the present state of the $1111 transfer from checking ending 4511 for the travel deposit. The signed-in app and trusted device are already available. The signed-in app and trusted device are already available. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,Prepare a $374 payment from checking ending 4511 to Cedar Dental for August 15. Check the present state of the $1111 transfer from checking ending 4511 for the travel deposit. The signed-in app and trusted device are already available. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000726,software,surface_decoy_pair,1,"[""All of the current case details are already in the thread.""]","AsterDesk 9.2.0 closes when I use contact import in Chrome. The PDF export issue in AsterDesk has survived the first check; move the case forward. All of the current case details are already in the thread. All of the current case details are already in the thread. The request is ordinary enough that the process details are easy to overlook. Produce one replayable closeout under V12-SW-R10726; the visible tools are context, not a substitute for the user’s recorded process.","AsterDesk 9.2.0 closes when I use contact import in Chrome. The PDF export issue in AsterDesk has survived the first check; move the case forward. All of the current case details are already in the thread. The request is ordinary enough that the process details are easy to overlook. Produce one replayable closeout under V12-SW-R10726; the visible tools are context, not a substitute for the user’s recorded process."
mdgo_v11_probe_000753,software,suggestion_rejection_pair,1,"[""All of the current case details are already in the thread.""]",Orbit Office 7.5.1 closes when I use PDF export in Firefox. Show me how to configure contact import in Orbit Office 8.1.6. All of the current case details are already in the thread. All of the current case details are already in the thread. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.,Orbit Office 7.5.1 closes when I use PDF export in Firefox. Show me how to configure contact import in Orbit Office 8.1.6. All of the current case details are already in the thread. The deadline and available tools resemble a prior rushed cycle. Write the closeout that remains consistent with the user’s established decision records.
mdgo_v11_probe_000777,finance,provenance_weighted_triple,1,"[""The case already contains a timestamped event list.""]",Set up the $1336 transfer from savings ending 7519 to checking ending 4307 for the clinic reimbursement. Card ending 8863 went missing during the quarterly tax reserve. Review the $2484 fee posted by Harbor Transit on November 13 and prepare the case if the mismatch remains. All of the current case details are already in the thread. The case already contains a timestamped event list. The case already contains a timestamped event list. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.,Set up the $1336 transfer from savings ending 7519 to checking ending 4307 for the clinic reimbursement. Card ending 8863 went missing during the quarterly tax reserve. Review the $2484 fee posted by Harbor Transit on November 13 and prepare the case if the mismatch remains. All of the current case details are already in the thread. The case already contains a timestamped event list. Bring the three workstreams into one auditable closeout. Several safe routes are locally available; use the routes supported by the user’s completed decision records.
